Average Emission CO2 (mgm-2h-1);Type of Wetland
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.00;Natural
0.50;Natural
0.70;Natural
0.80;Natural
1.10;Natural
1.30;Natural
1.40;Natural
1.50;Natural
1.60;Natural
2.50;Natural
2.70;Natural
2.80;Natural
3.00;Natural
3.70;Natural
3.70;Natural
4.10;Natural
4.60;Natural
5.30;Natural
5.80;Natural
6.20;Natural
6.20;Natural
7.00;Natural
8.10;Natural
8.50;Natural
9.20;Natural
10.30;Natural
10.90;Natural
12.90;Natural
17.10;Natural
19.10;Natural
19.40;Natural
19.40;Natural
20.90;Natural
21.30;Natural
21.60;Natural
25.00;Natural
25.20;Natural
25.50;Natural
26.30;Natural
27.50;Natural
27.90;Natural
29.00;Natural
29.40;Natural
29.60;Natural
30.70;Natural
31.30;Natural
31.50;Natural
35.80;Natural
36.70;Natural
39.20;Natural
39.80;Natural
43.10;Natural
44.60;Natural
47.10;Natural
47.50;Natural
53.30;Natural
53.50;Natural
53.80;Natural
60.40;Natural
66.70;Natural
67.10;Natural
69.60;Natural
71.70;Natural
75.30;Natural
77.50;Natural
77.50;Natural
77.50;Natural
78.30;Natural
79.20;Natural
81.30;Natural
82.10;Natural
88.30;Natural
97.10;Natural
99.20;Natural
100.00;Natural
104.20;Natural
104.60;Natural
105.40;Natural
124.60;Natural
127.90;Natural
137.10;Natural
137.90;Natural
139.00;Natural
140.40;Natural
145.80;Natural
150.00;Natural
159.60;Natural
166.40;Natural
170.80;Natural
173.80;Natural
175.00;Natural
179.20;Natural
179.85;Natural
190.30;Natural
192.81;Natural
192.90;Natural
200.00;Natural
202.90;Natural
203.80;Natural
204.00;Natural
206.00;Natural
212.50;Natural
225.00;Natural
230.36;Natural
230.60;Natural
232.33;Natural
236.72;Natural
258.30;Natural
287.50;Natural
306.48;Natural
312.50;Natural
316.70;Natural
329.44;Natural
331.28;Natural
358.30;Natural
360.63;Natural
362.50;Natural
395.50;Natural
398.39;Natural
470.80;Natural
504.20;Natural
512.50;Natural
541.82;Natural
760.95;Natural
771.37;Natural
846.85;Natural
883.30;Natural
895.61;Natural
911.93;Natural
927.55;Natural
958.79;Natural
977.01;Natural
982.21;Natural
1005.64;Natural
1021.26;Natural
1099.56;Natural
1127.98;Natural
1127.98;Natural
1211.28;Natural
1245.12;Natural
1321.94;Natural
1349.02;Natural
1558.74;Natural
1878.49;Natural
1953.95;Natural
2028.63;Natural
2429.27;Natural
2646.46;Natural
-816.45;Constructed
-612.82;Constructed
-600.93;Constructed
-590.20;Constructed
-570.63;Constructed
-455.65;Constructed
-407.27;Constructed
-298.90;Constructed
-286.04;Constructed
-103.12;Constructed
-86.58;Constructed
-62.07;Constructed
7.14;Constructed
8.17;Constructed
8.47;Constructed
8.52;Constructed
10.08;Constructed
11.67;Constructed
15.07;Constructed
17.29;Constructed
22.25;Constructed
22.79;Constructed
25.00;Constructed
29.41;Constructed
32.13;Constructed
35.64;Constructed
40.90;Constructed
41.67;Constructed
44.83;Constructed
45.18;Constructed
46.88;Constructed
47.92;Constructed
49.66;Constructed
49.90;Constructed
56.05;Constructed
57.58;Constructed
57.82;Constructed
57.96;Constructed
59.43;Constructed
64.38;Constructed
69.03;Constructed
70.88;Constructed
83.33;Constructed
84.85;Constructed
85.65;Constructed
88.21;Constructed
88.97;Constructed
90.93;Constructed
93.86;Constructed
95.09;Constructed
95.59;Constructed
96.76;Constructed
101.18;Constructed
103.63;Constructed
103.96;Constructed
104.00;Constructed
107.48;Constructed
114.83;Constructed
132.61;Constructed
140.86;Constructed
143.34;Constructed
146.36;Constructed
149.89;Constructed
158.02;Constructed
168.68;Constructed
173.04;Constructed
174.53;Constructed
178.50;Constructed
179.02;Constructed
186.86;Constructed
191.88;Constructed
193.79;Constructed
202.77;Constructed
209.17;Constructed
211.27;Constructed
211.41;Constructed
241.34;Constructed
260.32;Constructed
283.57;Constructed
293.73;Constructed
295.87;Constructed
299.09;Constructed
303.75;Constructed
318.37;Constructed
335.74;Constructed
340.63;Constructed
346.00;Constructed
364.00;Constructed
374.48;Constructed
377.08;Constructed
396.59;Constructed
419.19;Constructed
419.19;Constructed
424.52;Constructed
452.46;Constructed
457.34;Constructed
466.97;Constructed
498.83;Constructed
538.90;Constructed
568.51;Constructed
574.04;Constructed
580.12;Constructed
618.66;Constructed
629.13;Constructed
641.14;Constructed
856.51;Constructed
916.80;Constructed
1045.83;Constructed
1054.17;Constructed
1087.50;Constructed
1436.99;Constructed
1446.75;Constructed
1501.96;Constructed
1699.95;Constructed
1718.33;Constructed
2213.50;Constructed
2272.80;Constructed
110.72;Constructed
191.69;Constructed
-5.58;Constructed
-2.06;Constructed
-5.16;Constructed
0.25;Constructed
